movie_id,movie_rank,movie_title,movie_runtime,movie_year,movie_rating,movie_votes
tt8201170,363,. The Perfect Date,1h 29mTV-14,2019,5.8,"42,229"
tt6182908,364,. Smallfoot,1h 36mPG,2018,6.6,"42,134"
tt9683478,365,. The Half of It,1h 44mPG-13,2020,6.9,"42,109"
tt5797184,366,. Escape from Pretoria,1h 46mPG-13,2020,6.8,"41,898"
tt6324278,367,. Abominable,1h 37mPG,2019,7.0,"41,526"
tt5001754,368,. Braven,1h 34mR,2018,5.9,"41,455"
tt4537896,369,. White Boy Rick,1h 51mR,2018,6.5,"41,413"
tt7008872,370,. Boy Erased,1h 55mR,2018,6.9,"41,396"
tt4154916,371,. Replicas,1h 47mPG-13,2018,5.4,"41,236"
tt1053017,372,. The Call,1h 52mTV-MA,2020,7.1,"41,074"
tt1833116,373,. The Informer,1h 53mR,2019,6.6,"40,856"
tt3120280,374,. Sierra Burgess Is a Loser,1h 45mPG-13,2018,5.8,"40,706"
tt1563742,375,. Overboard,1h 52mPG-13,2018,6.0,"40,615"
tt8151874,376,. Honey Boy,1h 34mR,2019,7.2,"40,101"
tt7339248,377,. The Art of Self-Defense,1h 44mR,2019,6.6,"40,095"
tt6107548,378,. Late Night,1h 42mR,2019,6.5,"40,057"
tt9900782,379,. Kaithi,2h 25mNot Rated,2019,8.4,"40,054"
tt5294518,380,. Eli,1h 38mR,2019,5.8,"39,931"
tt5057140,381,. Hold the Dark,2h 5mTV-MA,2018,5.6,"39,660"
tt4827558,382,. High Life,1h 53mR,2018,5.8,"39,498"
tt3385524,383,. Stan & Ollie,1h 38mPG,2018,7.2,"39,329"
tt5580266,384,. The Hate U Give,2h 13mPG-13,2018,7.5,"39,265"
tt3833480,385,. The Outpost,2h 3mR,2019,6.8,"38,988"
tt5619332,386,. Life of the Party,1h 45mPG-13,2018,5.6,"38,784"
tt6938828,387,. At Eternity's Gate,1h 51mPG-13,2018,6.9,"38,753"
tt9016974,388,. Synchronic,1h 42mR,2019,6.2,"38,752"
tt8781414,389,. Freaks,1h 45mR,2018,6.7,"38,671"
tt1255919,390,. Holmes & Watson,1h 30mPG-13,2018,3.9,"38,608"
tt6697582,391,. Arif V 216,2h 5m,2018,7.0,"38,375"
tt7664504,392,. Three Identical Strangers,1h 36mPG-13,2018,7.6,"38,282"
tt6195094,393,. Incident in a Ghostland,1h 31mNot Rated,2018,6.4,"37,951"
tt1274959,394,. Host,57mNot Rated,2020,6.5,"37,645"
tt7905466,395,. They Shall Not Grow Old,1h 39mR,2018,8.2,"37,594"
tt8983202,396,. Kabir Singh,2h 53mNot Rated,2019,7.0,"37,574"
