movie_id,rank,title,originalTitle,description,year,votes,rating,runtimeminutes,ratingCategory,genre1,genre2,genre3
tt8236336,331,The Report,The Report,"Idealistic Senate staffer Daniel J. Jones, tasked by his boss to lead an investigation into the CIA's post 9/11 Detention and Interrogation Program, uncovers shocking secrets.",2019,48591,7.2,119,R,Biography,Crime,Drama
tt7772580,332,The Perfection,The Perfection,"When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.",2018,48431,6.2,90,TV-MA,Drama,Horror,Music
tt7431594,333,Race 3,Race 3,Relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them.,2018,48185,1.9,160,Not Rated,Action,Crime,Thriller
tt6212478,334,American Animals,American Animals,Four young men mistake their lives for a movie and attempt one of the most audacious heists in U.S. history.,2018,48143,7.0,116,R,Biography,Crime,Drama
tt5397194,335,Anon,Anon,"In a world without anonymity or crime, a detective meets a woman who threatens their security.",2018,47688,6.1,100,TV-MA,Crime,Mystery,Sci-Fi
tt1620680,336,A Wrinkle in Time,A Wrinkle in Time,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",2018,47167,4.3,109,PG,Adventure,Drama,Family
tt5208252,337,Operation Finale,Operation Finale,A team of secret agents set out to track down the Nazi officer who masterminded the Holocaust.,2018,47146,6.6,122,PG-13,Biography,Drama,History
tt8508734,338,His House,His House,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.",2020,46948,6.5,93,TV-14,Drama,Horror,Thriller
tt5117670,339,Peter Rabbit,Peter Rabbit,"A rebellious rabbit tries to sneak into a farmer's vegetable garden.",2018,46715,6.6,95,PG,Adventure,Comedy,Crime
tt5563334,340,The Good Liar,The Good Liar,"Consummate con man Roy Courtnay has set his sights on his latest mark: the recently widowed Betty McLeish, worth millions. But this time, what should have been a simple swindle escalates into a cat-and-mouse game with the ultimate stakes.",2019,46013,6.7,109,R,Crime,Drama,Mystery
tt1062086,341,#Alive,Episode #2.8,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.",2020,45912,6.3,98,TV-MA,\N,,
tt2235695,342,Rebecca,Rebecca,"A young newlywed arrives at her husband's imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death.",2020,45499,6.0,123,PG-13,Drama,Mystery,Romance
tt6772802,343,Hillbilly Elegy,Hillbilly Elegy,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.",2020,45335,6.7,116,R,Drama,,
